id,name,set,rarity,tribe,ability,flavorText,unique,mugicCost,artist,imageUrl,mugicNotes/0/letter,mugicNotes/0/length,mugicNotes/0/sharp,mugicNotes/0/flat,mugicNotes/1/letter,mugicNotes/1/length,mugicNotes/1/sharp,mugicNotes/1/flat,mugicNotes/2/letter,mugicNotes/2/length,mugicNotes/2/sharp,mugicNotes/2/flat,mugicNotes/3/letter,mugicNotes/3/length,mugicNotes/3/sharp,mugicNotes/3/flat,mugicNotes/4/letter,mugicNotes/4/length,mugicNotes/4/sharp,mugicNotes/4/flat,mugicNotes/5/letter,mugicNotes/5/length,mugicNotes/5/sharp,mugicNotes/5/flat,mugicNotes/6/letter,mugicNotes/6/length,mugicNotes/6/sharp,mugicNotes/6/flat,uniqueId,mugicNotes/0
169/232,Interlude of Consequence,dop,super rare,generic,Shuffle target player's Attack Deck or Location Deck.,"In desperate situations, turmoil and confusion can be one's allies.",false,1,Karol Kolodzinski,https://i.imgur.com/r3KIQSH.png,C,3,false,false,G,3,false,true,F,3,false,false,G,1,false,false,A,2,false,true,B,1,false,true,C,4,false,false,Interlude of Consequence__dop,
185/232,Melody of Malady,dop,super rare,underworld,Target engaged Creature gains 10 Energy. Deal 5 damage to another target engaged Creature.,"""A little bit more for me, a little bit less for you. Perfect!""— Zalvar",false,1,Jerico Santander,https://i.imgur.com/za7pbn2.png,D,2,false,false,A,1,false,false,A,3,false,true,E,2,false,false,F,2,false,false,D,1,false,true,C,4,false,false,Melody of Malady__dop,
198/232,Melody of Mirage,dop,rare,mipedian,Target attack deals 0 damage.,"Trust your ears, not your eyes.",false,1,Jerico Santander,https://i.imgur.com/s6Pj05d.png,C,1,false,false,A,3,false,false,C,1,false,false,B,3,false,false,C,1,false,false,D,1,false,false,E,4,false,true,Melody of Mirage__dop,
170/232,Minor Flourish,dop,common,generic,Heal 10 damage to target Creature.,"""Anyone can imitate a melody, but to hear it in one's head for the very first time... that is a gift."" — Najarin",false,1,Peter Joworoski,https://i.imgur.com/yjQGZoV.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minor Flourish__dop,
177/232,Mugic Reprise,dop,ultra rare,overworld,Return target Mugic Card from your general discard pile to your hand.,Everything that was once lost will be found again.,false,2,Peter Joworoski,https://i.imgur.com/Fezdp1i.png,C,1,false,false,G,1,false,true,D,1,false,true,C,1,false,false,B,1,false,true,G,1,false,true,F,4,false,false,Mugic Reprise__dop,
199/232,Notes of Neverwhere,dop,common,mipedian,The active Location loses all abilities.,"""If you have all that you need, you are always home."" — From an ancient Mugician text",false,1,Karol Kolodzinski,https://i.imgur.com/Sy9asbT.png,C,1,false,false,A,2,false,true,G,1,false,false,F,1,true,false,G,1,false,false,F,1,true,false,F,4,false,false,Notes of Neverwhere__dop,
178/232,OverWorld Aria,dop,super rare,overworld,Heal 10 damage to target OverWorld Creature. Damage dealt to that Creature by :fire:Fire attacks is reduced by 5.,Mugicians choose host Creatures along tribe affiliations.,false,1,Peter Joworoski,https://i.imgur.com/qpfaU22.png,D,2,false,false,C,3,false,false,C,1,false,false,A,1,false,false,F,2,false,false,A,1,false,false,G,1,false,false,OverWorld Aria__dop,
179/232,Refrain of Denial,dop,super rare,overworld,Negate target Mugic.,Cacophony signaled the beginning of the end of peace for the Mugicians.,false,2,Martin Molski,https://i.imgur.com/bvt9Wiz.png,B,2,false,true,A,1,false,false,G,2,false,false,E,1,false,true,D,1,false,false,B,1,false,true,G,4,false,false,Refrain of Denial__dop,
186/232,"Refrain of Denial, (OverWorld)",dop,super rare,underworld,Negate target Generic or OverWorld Mugic.,"""No such thing as Mugicians! Now fight!"" — Dardemus",false,1,Jerico Santander,https://i.imgur.com/DFn5BKV.png,B,2,false,true,G,1,false,false,A,2,false,false,D,1,false,false,E,1,false,true,C,1,false,false,D,4,false,false,"Refrain of Denial, (OverWorld)__dop",
192/232,"Refrain of Denial, (OverWorld/UnderWorld)",dop,uncommon,danian,Negate target OverWorld or UnderWorld Mugic.,"""The secret to using Mugic is to not try to solve its mysteries."" — Lore",false,1,Peter Joworoski,https://i.imgur.com/jS2JNXk.png,G,2,false,false,B,1,false,true,D,2,false,false,E,1,false,true,G,1,false,false,A,1,false,false,D,3,false,false,"Refrain of Denial, (OverWorld/UnderWorld)__dop",
187/232,Song of Asperity,dop,rare,underworld,"Target Creature gains "":fire:Fire 5"" and "":air:Air 5.""","When anger is all-consuming, hatred is the gateway to a hideous power.",false,1,Christian Jehie,https://i.imgur.com/tws6ogC.png,C,1,false,false,G,1,true,false,C,1,true,false,A,1,false,false,D,1,false,false,B,1,false,true,D,4,false,false,Song of Asperity__dop,
200/232,Song of Deflection,dop,ultra rare,mipedian,Change the target of target Mugic or ability with a single target.,Beauty is in the ears of the beholder - even discordant notes sound harmonious in dire situations.,false,3,Martin Molski,https://i.imgur.com/4h3K41X.png,F,3,true,false,G,3,true,false,A,3,false,false,F,3,true,false,B,1,false,false,B,1,false,false,B,3,false,false,Song of Deflection__dop,
171/232,Song of EmberNova,dop,rare,generic,Deal 10 damage to target Creature with :air:Air or :fire:Fire.,"Fire consumes air, suffocating the earth.",false,1,Peter Joworoski,https://i.imgur.com/7ImYyBy.png,C,2,false,false,A,1,false,true,G,3,false,false,D,1,false,true,C,2,false,false,C,1,false,false,F,4,true,false,Song of EmberNova__dop,
180/232,Song of Focus,dop,uncommon,overworld,"Target Creature gains 10 :courage:Courage, :power:Power, :wisdom:Wisdom, and :speed:Speed.",,false,1,Jerico Santander,https://i.imgur.com/PEfOVD0.png,G,3,false,false,A,1,false,false,E,1,false,false,G,1,false,false,F,2,true,false,D,2,false,false,E,4,false,false,Song of Focus__dop,
188/232,Song of Fury,dop,rare,underworld,"Deal 10 damage to target Creature. Another target Creature gains "":fire:Fire 5.""","""My legs or my Mugician? There is no choice. Cut them off!"" — Miklon",false,1,Karol Kolodzinski,https://i.imgur.com/A6VPuSY.png,A,1,false,true,D,1,false,false,A,1,false,false,E,1,false,true,A,1,false,true,D,1,false,false,B,4,false,false,Song of Fury__dop,
172/232,Song of Futuresight,dop,common,generic,Look at the top two cards of target player's Attack Deck or Location Deck. Put one of them on top of that deck and the other on the bottom.,Take care when peering into the future. Sometimes it is best to not know what comes.,false,1,Martin Molski,https://i.imgur.com/LHDjXAx.png,C,1,false,false,G,1,false,false,A,2,false,true,G,1,false,false,B,1,false,true,A,1,false,false,C,4,true,false,Song of Futuresight__dop,
173/232,Song of GeoNova,dop,rare,generic,Deal 10 damage to target Creature with :earth:Earth or :water:Water.,Forsake the land and the land will forsake you.,false,1,Peter Joworoski,https://i.imgur.com/iOYFEEv.png,E,2,false,false,D,2,false,false,F,2,false,false,D,2,false,false,F,1,true,false,F,1,true,false,D,4,true,false,Song of GeoNova__dop,
193/232,Song of Mandiblor,dop,super rare,danian,"Target Creature gains 5 :courage:Courage, :power:Power, :wisdom:Wisdom, and :speed:Speed for each Danian Creature in play.","Listen and learn the true strength of the Danian tribe — when you face one, you contend with all.",false,1,Jerico Santander,https://i.imgur.com/SuihghC.png,E,1,false,true,F,3,false,false,G,2,false,false,C,1,false,false,F,2,false,false,E,2,false,false,A,4,false,false,Song of Mandiblor__dop,
201/232,Song of Recovery,dop,uncommon,mipedian,"Heal 10 damage to target Creature. That Creature gains "":air:Air 5.""",Tiaane believes that each Mugic is but a small piece of a great opus.,false,1,Jerico Santander,https://i.imgur.com/8CpvFvT.png,C,3,false,false,B,1,false,true,A,1,false,false,G,2,false,false,C,2,false,false,F,3,false,false,G,3,false,false,Song of Recovery__dop,
194/232,Song of Resistance,dop,uncommon,danian,Damage dealt by attacks to the caster is reduced by 5.,Even the proudest Danian would never deny a chance to harden his shell.,false,2,Karol Kolodzinski,https://i.imgur.com/vFqmtUx.png,A,2,false,true,G,2,false,false,D,2,false,false,E,2,false,true,B,1,false,false,B,1,false,true,A,3,false,false,Song of Resistance__dop,
181/232,Song of Resurgence,dop,uncommon,overworld,Heal 20 damage to target Creature.,"""Our understanding of Mugic is the direct inverse of our gratitude for its existence."" — Najarin",false,1,Karol Kolodzinski,https://i.imgur.com/zF7Ph9u.png,E,1,false,false,G,1,false,false,B,1,false,false,D,1,false,false,A,1,false,false,C,1,true,false,F,4,true,false,Song of Resurgence__dop,
189/232,"Song of Revival, (UnderWorld)",dop,ultra rare,underworld,Return target UnderWorld Creature Card in your general discard pile to play to any unoccupied space on the Battleboard.,The Mugicians believed that anything that once was cannot be lost forever.,false,2,Martin Molski,https://i.imgur.com/XSj0HXO.png,F,2,false,false,D,2,false,false,G,2,false,false,E,2,false,false,A,1,false,false,C,1,false,false,D,3,false,false,"Song of Revival, (UnderWorld)__dop",
182/232,Song of Stasis,dop,rare,overworld,Target Creature cannot move.,A melody has the power to move you... or not.,false,1,Martin Molski,https://i.imgur.com/QwladhN.png,E,1,false,true,C,1,false,false,E,1,false,true,G,1,false,false,A,3,false,true,G,1,false,false,B,4,false,false,Song of Stasis__dop,
195/232,Song of Surprisal,dop,common,danian,"Target Creature gains ""Range"" and ""Swift 1.""",The usefulness of Mugic in battle is but a side effect. Its true purpose remains unknown.,false,1,Jerico Santander,https://i.imgur.com/Oau2New.png,F,1,false,false,B,1,false,true,C,1,false,false,D,1,false,true,F,1,false,false,B,1,false,true,E,4,false,false,Song of Surprisal__dop,
196/232,Song of Symmetry,dop,rare,danian,Target engaged Creature gains 10 Energy. Deal 10 damage to another target engaged Creature.,"Your strength is now mine, my weakness is now yours!",false,1,Peter Joworoski,https://i.imgur.com/kXS74AX.png,C,3,false,false,G,1,false,false,D,2,false,false,A,2,false,false,E,4,false,false,B,1,false,false,E,4,false,false,Song of Symmetry__dop,
190/232,Song of Treachery,dop,common,underworld,"Target Creature loses 15 :courage:Courage, :power:Power, :wisdom:Wisdom, and :speed:Speed.",One cannot move forward if one's always watching one's own back.,false,1,Jerico Santander,https://i.imgur.com/hlQEG0a.png,G,1,false,false,A,1,false,true,B,1,false,false,E,1,false,true,D,3,false,false,B,1,false,true,E,4,false,false,Song of Treachery__dop,
174/232,Song of Truesight,dop,common,generic,Target Creature loses Invisibility.,"A melody may help you see things more clearly, so how can sound be invisible?",false,1,Karol Kolodzinski,https://i.imgur.com/KucdmYD.png,G,2,false,false,E,1,false,false,C,3,false,false,A,1,false,false,F,2,false,false,E,1,false,false,F,4,false,false,Song of Truesight__dop,
202/232,Trills of Diminution,dop,common,mipedian,Target engaged Creature loses all abilities.,Even the simplest sounds can resonate in one's mind.,false,1,Jerico Santander,https://i.imgur.com/GU5C0PV.png,D,1,false,false,C,1,true,false,D,1,false,false,C,1,true,false,D,2,false,false,G,2,false,false,A,4,false,true,Trills of Diminution__dop,
71/100,Cascading Rondo,zoth,super rare,underworld,"Swap your attack discard pile with your Attack Deck, then shuffle your Attack Deck.","Though he appeared exhausted, he was merely getting his second wind.",false,1,Peter Joworoski,https://i.imgur.com/h9g4AzQ.png,D,2,false,false,C,2,false,false,A,2,false,false,B,2,false,true,F,2,false,false,G,2,false,false,E,4,false,false,Cascading Rondo__zoth,
87/100,Casters' Warsong,zoth,uncommon,generic,"Deal 5 damage to target Creature.
If the caster of this Mugic is a Muge, deal an additional 10 damage.","A sword can pierce the body, but a song can pierce the soul.",false,1,Karol Kolodzinski,https://i.imgur.com/x3V2nDY.png,B,2,false,true,F,1,false,false,C,3,false,false,E,2,false,true,D,2,false,true,C,2,false,false,D,4,false,true,Casters' Warsong__zoth,
88/100,Chorus of Cothica,zoth,ultra rare,generic,Target Creature can play Mugic of any tribe.,"Some speak of the one true song, the Mugic that unites all Perim.",false,1,Peter Joworoski,https://i.imgur.com/CYWeKC8.png,D,3,false,false,F,2,true,false,G,2,false,false,D,2,false,false,G,2,true,false,E,2,false,false,C,4,false,false,Chorus of Cothica__zoth,
66/100,Composition of Concentration,zoth,common,overworld,Target Creature gains 30 in the Discipline of your choice.,Mugic can raise the spirit to immeasurable heights.,false,1,Martin Molski,https://i.imgur.com/mdm7aqu.png,G,2,true,false,A,2,false,false,G,2,true,false,A,2,false,false,D,2,true,false,G,2,true,false,E,4,false,false,Composition of Concentration__zoth,
76/100,Danian Element Choral,zoth,rare,danian,Target Creature gains all Elemental Types your Creatures have.,Harmonies can never be sung alone.,false,1,Jerico Santander,https://i.imgur.com/UI8bbr8.png,A,2,false,false,B,2,false,true,C,1,true,false,C,3,false,false,G,2,false,false,E,1,false,false,G,4,true,false,Danian Element Choral__zoth,
67/100,Defender's Song,zoth,uncommon,overworld,"Creatures you control gain ""Defender.""",What inspires us to sacrifice ourselves for the ones that we love?,false,1,Peter Joworoski,https://i.imgur.com/kRlSUSM.png,F,2,true,false,G,2,false,false,A,2,false,false,B,2,false,true,D,2,false,true,D,2,false,false,F,4,false,false,Defender's Song__zoth,
72/100,Dissonance of Distraction,zoth,common,underworld,Target Creature loses 30 in the Discipline of your choice.,Mugic can sink the spirit to immeasurable depths.,false,1,Martin Molski,https://i.imgur.com/hHtz8ST.png,E,3,false,true,A,1,false,false,E,2,false,false,G,2,true,false,C,1,true,false,C,1,false,false,F,1,true,false,Dissonance of Distraction__zoth,
73/100,Elemental Denial,zoth,uncommon,underworld,Target Creature loses X Elemental Types of your choice.,Some believe the Cothica and nature are irrevocably linked... understand one and rule the other!,false,X,Martin Molski,https://i.imgur.com/wPPKU6Q.png,D,2,true,false,D,2,false,false,G,2,false,true,F,2,false,false,E,2,false,true,D,2,false,false,A,4,false,false,Elemental Denial__zoth,
77/100,Elemental Elegy,zoth,super rare,danian,"Target Creature loses an Elemental Type of your choice. If that Creature has no Elemental Types, it cannot move instead.",,false,1,Jerico Santander,https://i.imgur.com/TG8SwnU.png,E,2,false,false,A,2,false,false,D,2,false,false,G,2,false,false,C,2,false,false,F,2,false,false,B,4,false,true,Elemental Elegy__zoth,
89/100,Forgotten Origins,zoth,super rare,generic,Target player removes all cards in their general discard pile from the game.,It was the most beautiful song I've ever heard... but now I can't even remember a single note.,false,3,Martin Molski,https://i.imgur.com/5Oqktmk.png,C,3,false,false,A,1,false,true,F,1,false,false,E,2,false,false,F,2,false,false,D,2,false,true,E,4,false,true,Forgotten Origins__zoth,
83/100,Gear Glissando,zoth,common,mipedian,Flip target Battlegear face-up or face-down.,Most Muges believe that the problem with machines is that they exist at all.,false,1,Karol Kolodzinski,https://i.imgur.com/Vgl8gGB.png,E,3,false,false,F,1,true,false,G,1,false,false,A,1,false,false,B,1,false,false,C,3,false,false,E,4,false,true,Gear Glissando__zoth,
74/100,Hive Destruction,zoth,uncommon,underworld,Deactivate Hive.,"How absurd! The Danians act courageous, but they're merely thespians pretending to be warriors! We will rend their dirty hides into chaos!",false,1,Karol Kolodzinski,https://i.imgur.com/NkxMnxe.png,G,3,false,false,D,3,false,false,B,3,false,true,F,3,true,false,C,2,false,false,G,2,false,false,F,2,true,false,Hive Destruction__zoth,
78/100,Hive Unsung,zoth,rare,danian,"Deactivate Hive.
You may pay :danianmugic:when playing Hive Unsung.
If you do, return Hive Unsung to your hand when it resolves.",Some songs leave the audience in silence.,false,0,Jerico Santander,https://i.imgur.com/JluC0Kt.png,G,2,false,true,G,2,false,false,C,1,false,false,B,1,false,true,A,1,false,false,B,1,false,true,G,4,false,true,Hive Unsung__zoth,
79/100,Infectious Melody,zoth,uncommon,danian,Infect up to two target Uninfected Creatures.,A tune so chilling that it makes your skin crawl.,false,2,Jerico Santander,https://i.imgur.com/MQ9Mf60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infectious Melody__zoth,
84/100,Melodic Might,zoth,super rare,mipedian,"Draw two Attack Cards, then discard two Attack Cards.","When Plan A fails, switch to Plan B. 
When Plan B fails... flee!",false,1,Martin Molski,https://i.imgur.com/OUX63bQ.png,E,2,false,true,F,1,false,false,G,1,false,true,D,2,false,true,A,1,false,true,C,1,false,true,B,4,false,true,Melodic Might__zoth,
90/100,Melody of the Meek,zoth,rare,generic,"If target Creature with 30 or less Scanned Energy would take greater than 10 damage from a single source, it takes 10 damage instead.",,false,1,Jerico Santander,https://i.imgur.com/iOepZJ6.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melody of the Meek__zoth,
68/100,Momental Virtuosity,zoth,rare,overworld,"Target Creature gains 50 in the Discipline of your choice.
Target Creature gains 50 in another Discipline of your choice. (You can target the same Creature.)",,false,2,Karol Kolodzinski,https://i.imgur.com/ymOFPYF.png,G,1,false,false,F,1,false,false,G,3,false,false,C,1,false,false,D,1,false,false,E,2,false,true,C,4,false,false,Momental Virtuosity__zoth,
69/100,Prelude of Protection,zoth,common,overworld,"Target Creature gains ""Fireproof 10"", ""Airproof 10"", ""Earthproof 10"", and ""Waterproof 10.""","Perhaps the Cothica is in the light, the land, the very winds that blow!",false,1,Peter Joworoski,https://i.imgur.com/WCgGz8O.png,B,3,false,true,B,2,false,true,D,2,false,true,G,2,false,true,F,3,false,false,E,2,false,true,C,4,false,true,Prelude of Protection__zoth,
80/100,Purge Dirge,zoth,ultra rare,danian,"Deal 5 damage to target Creature for each Mandiblor you control and each Infected Creature in play, then Uninfect all Creatures.","This may sting a little. But usually, a lot.",true,3,Jerico Santander,https://i.imgur.com/PIi7PQG.png,G,4,false,false,B,2,false,false,F,2,true,false,E,2,false,false,B,3,false,true,C,1,false,false,D,4,false,false,Purge Dirge__zoth,
70/100,Recurring Rescue,zoth,super rare,overworld,"Heal 10 damage to target Creature.
If the target of Recurring Rescue has 30 or less Scanned Energy, return Recurring Rescue to your hand when it resolves.",Ahh... a song so soothing that OverWorlders yearn to hear it again and again.,false,1,Karol Kolodzinski,https://i.imgur.com/FrsonjP.png,B,3,false,true,B,2,false,true,D,2,false,true,G,2,false,true,F,3,false,false,E,2,false,true,C,4,false,true,Recurring Rescue__zoth,
75/100,Serenade of Subordinance,zoth,rare,underworld,"Target Creature loses 50 in the Discipline of your choice. 
Target Creature gains 50 in another Discipline of your choice. (You can target the same Creature.)",,false,2,Peter Joworoski,https://i.imgur.com/qQsVyYF.png,D,1,false,false,C,2,false,false,B,2,false,false,C,3,false,false,D,2,false,false,A,2,false,false,B,4,false,false,Serenade of Subordinance__zoth,
81/100,Song of Encompassing,zoth,common,danian,"Creatures you control gain the Creature Type ""Mandiblor"" in addition to their other types.","All I heard was the buzzing... the deafening, maddening buzzing!",false,1,Jerico Santander,https://i.imgur.com/6pzkHGE.png,A,1,false,true,A,1,false,false,F,1,false,false,E,1,false,false,D,2,false,true,E,1,false,false,C,4,false,false,Song of Encompassing__zoth,
82/100,Song of Resilience,zoth,common,danian,"If target Creature has :fire:Fire, it gains ""Fireproof 10""; if it has :air:Air, it gains ""Airproof 10""; if it has :earth:Earth, it gains ""Earthproof 10""; if it has :water:Water, it gains ""Waterproof 10.""",,false,1,Jerico Santander,https://i.imgur.com/YfWUgr5.png,E,2,false,false,A,2,false,false,C,2,true,false,D,2,true,false,E,3,false,false,F,1,true,false,G,4,true,false,Song of Resilience__zoth,
85/100,Song of Shelter,zoth,rare,mipedian,Target Creature you control cannot be targeted by Mugic or abilities.,"How seven little notes can create such diverse wonders is one of the great, unsolvable mysteries of Perim.",false,1,Martin Molski,https://i.imgur.com/gs0eCDx.png,F,3,false,false,C,1,false,false,G,3,false,false,C,1,false,false,B,2,false,true,A,2,false,false,D,4,false,false,Song of Shelter__zoth,
86/100,Switch Riff,zoth,uncommon,mipedian,Swap the spaces on the Battleboard of two target unengaged Mipedian Creatures you control.,Beware if you see two sets of footprints... but only one Mipedian.,false,1,Martin Molski,https://i.imgur.com/o4ZzoVu.png,C,3,false,false,G,2,false,false,F,2,true,false,C,2,false,false,D,1,false,false,G,1,true,false,E,4,false,false,Switch Riff__zoth,
86/100,Armament Adagio,ss,common,mipedian,Swap any Battlegear on two target Creatures controlled by the same player.,"It's true that we can accomplish great feats alone, but together, we can accomplish miracles.",false,1,Peter Joworoski,https://i.imgur.com/0AMHl6d.png,D,3,true,false,C,2,true,false,A,1,false,false,F,1,false,false,F,1,true,false,A,1,false,false,C,4,false,false,Armament Adagio__ss,
78/100,Echoes of Empty Hands,ss,uncommon,overworld,Destroy all Battlegear equipped to target engaged Creature. That Creature gains 10 Energy.,"""Even lifeless machines have a life force."" — Vidav",false,1,Peter Joworoski,https://i.imgur.com/7m9PYv4.png,C,3,false,false,F,2,false,false,E,2,false,false,B,3,false,false,D,2,true,false,D,2,false,false,C,4,true,false,Echoes of Empty Hands__ss,
87/100,Fighters' Fanfare,ss,ultra rare,mipedian,Damage dealt by the next attack that resolves this turn is dealt to target engaged Creature instead. (Damage is calculated with target as the recipient.),The existence of Mugic is proof enough that nothing is impossible.,true,2,Martin Molski,https://i.imgur.com/0T5HBgU.png,F,3,false,false,C,1,false,false,F,1,false,false,D,3,true,false,D,1,true,false,F,1,false,false,C,4,false,false,Fighters' Fanfare__ss,
88/100,Hymn of Teleportation,ss,super rare,mipedian,"Choose one:
If the Active Location is a Mirage, put it into play on any space on the Battleboard and reveal a new active Location.
Move target Mirage Location in play to any place on the Battleboard.",,false,1,Karol Kolodzinski,https://i.imgur.com/A4xWzPm.png,G,3,false,false,D,1,false,false,C,2,false,false,B,2,false,false,E,1,false,true,C,1,false,false,A,4,false,true,Hymn of Teleportation__ss,
84/100,Melody of Parasitic Mayhem,ss,uncommon,danian,"Infect target Uninfected engaged Creature. If Hive is Active, Uninfect all Creatures controlled by an opponent and deal 5 damage to target engaged Creature for each Creature Uninfected this way instead.",,false,1,Peter Joworoski,https://i.imgur.com/g3G54N5.png,C,2,false,false,F,2,false,false,G,3,true,false,G,1,false,false,D,1,true,false,B,1,false,false,C,4,false,false,Melody of Parasitic Mayhem__ss,
79/100,Rhyme of the Reckless,ss,rare,overworld,"When target attack deals damage, deal the same amount of damage to the Creature that played that attack.","The eyes show that which can be seen, but the ears reveal that which is real.",false,1,Karol Kolodzinski,https://i.imgur.com/VwfBi8n.png,E,3,false,false,D,1,false,false,B,1,false,true,F,1,true,false,F,2,false,false,B,2,false,false,E,4,false,true,Rhyme of the Reckless__ss,
82/100,Song of Desperation,ss,rare,underworld,Target engaged Creature gains 30 Energy. Discipline Checks and Challenges on attacks played by that Creature deal 0 damage.,,true,1,Jerico Santander,https://i.imgur.com/XBAXbC5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Song of Desperation__ss,
80/100,Song of the Dyad,ss,common,overworld,"Choose one: 
Heal 10 damage to target Creature. 
Deal 10 damage to target Creature.",What brings happiness to one brings pain to another.,false,1,Martin Molski,https://i.imgur.com/PkhQGZA.png,D,1,false,false,E,1,false,false,F,2,false,false,D,3,false,false,B,1,false,true,A,2,false,false,C,4,true,false,Song of the Dyad__ss,
83/100,Strain of Ash,ss,uncommon,underworld,"Sacrifice a Battlegear equipped to an unengaged UnderWorld Creature you control. If you do, destroy target Battlegear.","As his Ice Cloak vanished, Bodal calculated he had 8.5 seconds until the firestorm immolated him.",true,0,Jerico Santander,https://i.imgur.com/OVAs2he.png,D,2,false,true,C,3,false,false,F,2,false,false,B,2,false,false,B,3,false,true,E,2,false,true,A,4,false,false,Strain of Ash__ss,
76/100,Strain of Clarity,ss,uncommon,generic,"Choose one: 
Shuffle target Mirage Location into its controller's Location Deck. 
If the active Location is a Mirage, shuffle it into its controller's Location deck and that player reveals a new active Location.",,true,0,Jerico Santander,https://i.imgur.com/m6PTsrS.png,E,1,false,true,D,3,false,false,E,3,false,true,D,3,false,false,B,1,false,true,G,3,false,false,A,4,false,true,Strain of Clarity__ss,
