Prioridade,Status,name,name_PtBr,subname,subname_PtBr,ability,ability_PtBr,flavorText,flavorText_PtBr,initiative,initiative_PtBr
,Ok,Castle Mommark,Castelo Mommark,,,"When this becomes the active Location, each player can sacrifice a Creature they control. If they do, they can return another Creature Card from their general discard pile to play to any unoccupied space on their side of the Battleboard.","Quando este Local se torna o Local ativo, cada jogador pode sacrificar uma Criatura que controla. Se o fizer, pode retornar outra carta de Criatura da sua pilha de descarte geral para jogar em qualquer espaço desocupado do seu lado do Tabuleiro de Batalha.",,,Fire,Fogo
,Ok,Castle Pillar,Pilar do Castelo,,,"At the beginning of combat, if an engaged Creature has higher :wisdom:Wisdom than the opposing engaged Creature, put a :genericmugic: on it.","No início do combate, se uma Criatura Engajada tiver :wisdom:Sabedoria maior que a Criatura Engajada oponente, coloque um :genericmugic: nela.",,,Courage,Coragem
,Ok,Castle Pillar,Pilar do Castelo,(OP),(OP),"At the beginning of combat, if an engaged Creature has higher :wisdom:Wisdom than the opposing engaged Creature, put a :genericmugic: on it","No início do combate, se uma Criatura Engajada tiver :wisdom:Sabedoria maior que a Criatura Engajada oponente, coloque um :genericmugic: nela.","It's rumored that the most vicious Creature in Perim is imprisoned here, but only Chaor truly knows.","Corre o boato de que a Criatura mais cruel de Perim está aprisionada aqui, mas só Chaor sabe ao certo.",Courage,Coragem
,Ok,Castle Rathwaq,Castelo Rathwaq,,,The engaged Creature with the lowest :power:Power deals 5 less damage with attacks.,A Criatura Engajada com o menor :power:Power causa 5 pontos de dano a menos com ataques.,"Grotesquely beautiful, the design is as twisted as its inhabitants.","De uma beleza grotesca, o projeto é tão distorcido quanto seus habitantes.",Earth,Terra
,Ok,Catacombs of the Conjurors,Catacumbas dos Conjuradores,,,"Damage dealt to Warbeast Creatures by Recklessness is reduced by 5.
Conjuror Creatures have ""Recklessness 5.""","O dano causado a Criaturas Besta de Guerra por Imprudência é reduzido em 5.
Criaturas Conjurador têm ""Imprudência 5"".","Shunned by even the most tolerant of Mipedians, Conjurors continue to push the boundaries of Mugic.","Rejeitados até mesmo pelos Mipedianos mais tolerantes, os Conjuradores continuam a expandir os limites dos Mugic.",Warbeast,Besta de Guerra
2,Ok,Chamber of Waves,Câmara das Ondas,,,Creatures have 10 less in all Disciplines.,Criaturas têm 10 pontos a menos em todas as Disciplinas.,"As corrupted water flows through the pipes of the gigantic acoustic organ, a sound resonates that is both eerie, beautiful and inexplicably dangerous.","À medida que a água contaminada flui pelos tubos do gigantesco órgão acústico, um som ressoa, sendo ao mesmo tempo misterioso, belo e inexplicavelmente perigoso.",Wisdom,Sabedoria
,Ok,City of Kehn-sep,Cidade de Kehn-sep,Tablet Dig Site,Sítio de Escavação de Tablet,"At the beginning of combat, each player reveals the top 2 cards of their Attack Deck. Any player who reveals 3 or more total Build Points in Attack Cards puts :genericmugic::genericmugic: on their engaged Creature. Put the revealed cards on the bottom of the Attack Deck in any order.","No início do combate, cada jogador revela as 2 cartas do topo do seu Baralho de Ataque. Qualquer jogador que revelar 3 ou mais Pontos de Construção totais em Cartas de Ataque coloca :genericmugic::genericmugic: em sua Criatura Engajada. Coloque as cartas reveladas no fundo do Baralho de Ataque em qualquer ordem.",,,Mipedian,Mipediano
1,Ok,Cordac Falls,Cachoeiras Cordac,,,"At the beginning of combat, engaged Creatures gains 5 Energy.","No início do combate, as Criaturas Engajadas ganham 5 de Energia.",Cordac's teardrops plunge into the abyss with nary a splash or spray...,As lágrimas de Cordac mergulham no abismo sem um único respingo ou borrifo...,OverWorld,Outro Mundo
1,Ok,Cordac Falls Plungepool,Poço das Quedas de Cordac,,,"At the beginning of combat, deal 5 damage to engaged Creatures.","No início do combate, cause 5 pontos de dano às Criaturas Engajadas.","...and strike the lake miles below, exploding outwards into the fray.","...e atinge o lago quilômetros abaixo, explodindo para fora em meio à batalha.",UnderWorld,Submundo
,Ok,Cryomorph Barricades,Barricadas Criomorfas,,,"Creatures with Defender deal an additional 5 attack damage. 
Mirage: Creatures in this space have ""Defender.""","Criaturas com Defensor causam 5 pontos de dano de ataque adicionais.
Miragem: Criaturas neste espaço têm ""Defensor"".",Even Intress was flabbergasted that the Fluidmorphers built the wall in a day.,Até mesmo Intress ficou estupefata com o fato dos Liquimorfos terem construído o muro em um único dia.,Power,Poder
,Ok,Crystal Cave,Caverna de Cristal,,,"If an engaged Creature has lower :speed:Speed than the opposing engaged Creature, it deals 0 damage on its first attack each combat.","Se uma Criatura Engajada tiver :speed:Velocidade menor que a Criatura Engajada oponente, ela causa 0 de dano em seu primeiro ataque em cada combate.",The ancient Mugicians mined the hardest substance in all of Perim to protect their mystical melodies.,Os antigos Mugicianos extraíam a substância mais dura de todo o Perim para proteger suas melodias místicas.,Speed,Velocidade
,Ok,Deadrange Gong,Deadrange Gong,,,"Chieftain Creatures have an additional 15 in all Disciplines and "":water:Water 5.""","Criaturas Chefes têm 15 adicionais em todas as Disciplinas e "":water:Água 5"".","Reverberating throughout the deep, M'arrillians can also receive commands by sensing vibrations in the water.","Reverberando pelas profundezas, os M'arrillians também podem receber comandos ao sentirem vibrações na água.",Fire,Fogo
1,Ok,Doors of the Deepmines,Portas das Minas Profundas,,,"At the beginning of combat, Creatures with :water:Water gain 10 Energy.","No início do combate, Criaturas com :water:Água ganham 10 de Energia.","In a rare sign of solidarity, all four tribes guard the massive doors, hoping they never open again.","Num raro gesto de solidariedade, as quatro tribos guardam as enormes portas, na esperança de que nunca mais se abram.",Speed,Velocidade
,Ok,Dranakis Threshold,Limiar de Dranakis,Portal to the Past,Portal para o Passado,"Creatures are considered Past Creatures.
Creatures have no Tribes.","As Criaturas são consideradas Criaturas do Passado.
As Criaturas não possuem Tribos.","The past, present and future all converge here.","O passado, o presente e o futuro convergem aqui.",Speed,Velocidade
,Ok,Dranakis Threshold,Limiar de Dranakis,,,Mugic and activated abilities cannot be played.,Mugic e habilidades ativadas não podem ser usadas.,The few who have survived utter nary a word of what lies beyond.,Os poucos que sobreviveram não proferem uma palavra sequer sobre o que existe além.,Courage,Coragem
,Ok,Elmantiir,Elmantir,,,"At the beginning of combat, engaged Creatures gain 5 Energy for each Elemental Type they have.","No início do combate, as Criaturas Engajadas ganham 5 de Energia para cada Tipo Elemental que possuírem.","As the Elmantiir manifested, Intress knew that she would win - the Emperors of the Elements had bestowed their might upon her.","Quando Elmantiir se manifestou, Intress soube que venceria - os Imperadores dos Elementos haviam lhe concedido seu poder.",Elementalist,Elementalista
,Ok,Everrain,Everrain,,,":water:Water attacks deal an additional 5 damage.
Damage dealt by :earth:Earth attacks is reduced by 5.","Ataques de :water:Água causam 5 de dano adicional.

O dano causado por ataques de :earth:Terra é reduzido em 5.",Lake Ken-I-Po seeps through the UnderWorld ceiling in an unending reminder of the OverWorld's aqueous bounty.,"O lago Ken-I-Po infiltra-se pelo teto do Mundo Subterrâneo, num lembrete constante da abundância aquática do Outro Mundo.",Courage,Coragem
1,Ok,Eye of the Maelstrom,Olho do Redemoinho,,,"When this becomes the active Location, each player discards a Mugic Card.","Quando este Local se torna o Local ativo, cada jogador descarta uma Carta de Mugic.","No wind, no sound - just madness.","Sem vento, sem som - apenas loucura.",Power,Poder
1,Ok,Fear Valley,Vale do Medo,(OP),(OP),"At the beginning of combat, if an engaged Creature has lower :courage:Courage than the opposing engaged Creature, it loses 10 Energy.","No início do combate, se uma Criatura Engajada tiver :courage:Coragem menor que a Criatura oponente Engajada, ela perde 10 de Energia.",One night here means a lifetime of nightmares.,Uma noite aqui significa uma vida inteira de pesadelos.,Wisdom,Sabedoria
1,Ok,Fear Valley,Vale do Medo,,,"At the beginning of combat, if an engaged Creature has lower :courage:Courage than the opposing engaged Creature, it loses 10 Energy.","No início do combate, se uma Criatura Engajada tiver Coragem menor que a Criatura oponente Engajada, ela perde 10 de Energia.","No matter how far you run, you can never escape a nightmare.","Não importa o quão longe você corra, você nunca conseguirá escapar de um pesadelo.",Wisdom,Sabedoria
,Ok,Foothold Assault Trench,Trincheira de Assalto de Ponto de Apoio,,,"If all Creatures a player controls share a Tribe, that player's engaged Creature deals an additional 5 attack damage.","Se todas as Criaturas que um jogador controla compartilharem uma tribo, a Criatura Engajada desse jogador causa 5 pontos de dano de ataque adicionais.",,,Wisdom,Sabedoria
1,Ok,Forest of Life,Floresta da Vida,During Aichlyys,Durante Aichlyys,Creatures do not have and cannot gain Invisibility.,As Criaturas não possuem e não podem adquirir Invisibilidade.,"On those rare nights when the triad stars of Lup, Lec, and Teo shine above the forest, all secrets are brought to light.","Naquelas raras noites em que as estrelas da tríade Lup, Lec e Teo brilham sobre a floresta, todos os segredos são revelados.",Power,Poder
1,Ok,Forest of Life,Floresta da Vida,,,"At the beginning of combat, if an engaged Creature has higher :power:Power than the opposing engaged Creature, it gains 5 Energy.","No início do combate, se uma Criatura Engajada tiver um :power:Poder maior que o da Criatura oponente Engajada, ela ganha 5 de Energia.",A place of perpetuity: nothing is born or perishes within.,Um lugar de perpetuidade: nada nasce nem perece ali.,Wisdom,Sabedoria
,Ok,Frozen Fire,Fogo Congelado,,,"When a Creature has a Mugic counter put on it or removed from it, deal 5 damage to it.","Quando um marcador de Mugic for colocado ou removido de uma Criatura, cause 5 pontos de dano a ela.",The ocean of flames chills as it burns.,O oceano de chamas gela enquanto queima.,Wisdom,Sabedoria
,Ok,Gambreor's Hut,Cabana de Gambreor,,,"Creatures you control have ""Fireproof 5."" 
If a Creature's Discipline would decrease, that Discipline decreases by 10 less instead.","As Criaturas que você controla têm ""Resistência ao Fogo 5"".
Se a Disciplina de uma Criatura fosse diminuir, em vez disso, essa Diciplina diminui em 10.",,,Power,Poder
1,Ok,Gigantempopolis,Gigantempopolis,Chamber of the Oraklon,Câmara do Oraklon,"At the beginning of combat, put a :overworldmugic: on any engaged OverWorld Creatures.","No início do combate, coloque um :overworldmugic: em quaisquer Criaturas do Outro Mundo Engajadas.",The ancient beings who once dwelled here faded into oblivion - proving indisputably that size doesn’t matter.,"Os seres ancestrais que outrora habitaram este lugar desapareceram no esquecimento, provando indiscutivelmente que o tamanho não importa.",Power,Poder
1,Ok,Gigantempopolis,Gigantempopolis,,,"Each Battlegear has ""Untargetable.""","Cada equipamento de batalha possui ""Inalvejável"".","Since the Oraklon allows one to peer into distant lands, it is no wonder the giants guarded it so closely... or that Vlar wanted it so badly!","Já que o Oraklon permite vislumbrar terras distantes, não é de admirar que os gigantes o guardassem tão zelosamente... ou que Vlar o desejasse tanto!",Water,Água
,Ok,Glacier Plains,Planícies Glaciais,M'arrillian Melting Camp,Acampamento de Fusão M'arrillian,"At the beginning of combat, each player can remove two Mugic counters from any Creatures they control. If a player does not, their engaged Creature loses 50 in each Discipline.","No início do combate, cada jogador pode remover dois marcadores de Mugic de quaisquer Criaturas que controle. Se um jogador não o fizer, sua Criatura Engajada perde 50 em cada Disciplina.",,,Fluidmorpher,Fluidmorph
,Ok,Glacier Plains,Planícies Glaciais,(Holiday Reward),(Recompensa de Feriado),UnderWorld Mugic Costs 1 additional :underworldmugic: to play.,Mugic do Submundo custa 1 :underworldmugic: adicional para jogar.,"This frozen, remote region is home to Blügon and other frosty Creatures.",Esta região remota e congelada é o lar de Blügon e outras Criaturas gélidas.,Power,Poder
,Ok,Glacier Plains,Planícies Glaciais,,,Creatures must pay an additional :underworldmugic: to play UnderWorld Mugic Cards.,As Criaturas devem pagar um :underworldmugic: adicional para jogar as Cartas de Mugic do Submundo.,"This frozen, remote region is as harsh and forbidding as the UnderWorld's Lava Pond.",Esta região remota e congelada é tão inóspita e ameaçadora quanto o Lago de Lava do Submundo.,Power,Poder
,Ok,Glacier Plains,Planícies Glaciais,M'arrillian Heat Cannon,Canhão de Calor M'arrillian,Remove 50 Mugic counters from among Creatures you control: Win the game. Any player can play this ability.,Remova 50 marcadores de Mugic dentre as Criaturas que você controla: Ganhe o jogo. Qualquer jogador pode usar esta habilidade.,"""If the ice melts, Perim will die. We must stop it... no matter what the sacrifice."" — Tangath Toborn","""Se o gelo derreter, Perim morrerá. Devemos impedir isso... não importa o sacrifício."" — Tangath Toborn",Mugic counters,Contadores de Mugic
,Ok,Gloom-mire Night,Noite de Lamaçal Sombrio,,,"Creatures cannot be relocated by Mugic, abilities or Attacks.","As Criaturas não podem ser realocadas por Mugic, habilidades ou Ataques.","As Bodal sank into the murky swamp, he calculated that he had 45.7 seconds until he would be gargling black ooze.","Enquanto Bodal afundava no pântano turvo, ele calculou que tinha 45,7 segundos antes de estar engasgando com uma gosma preta.",Mipedian,Mipediano
1,Ok,Gloomuck Swamp,Pântano Gloomuck,,,":earth:Earth attacks deal an additional 5 damage.
Damage dealt by :fire:Fire attacks is reduced by 5.","Ataques de :earth:Terra causam 5 de dano adicional.

O dano causado por ataques de :fire:Fogo é reduzido em 5.",For very different reasons both Crawsectus and Antidaeon choose to call this murky mess home.,"Por razões muito diferentes, tanto Crawsectus quanto Antidaeon escolheram chamar essa confusão nebulosa de lar.",Courage,Coragem
,Ok,Gorram's Briefing,Resumo de Gorram,,,"At the beginning of combat, engaged Creatures gains 5 Energy and 5 to all Disciplines for each Tribe its controller controls.","No início do combate, as Criaturas Engajadas ganham 5 de Energia e 5 em todas as Disciplinas para cada Tribo que seu controlador controla.",The beginning of the end begins.,O começo do fim começa.,Courage,Coragem
,Ok,Gothos Tower,Torre de Gothos,,,"Creatures not named Lord Van Bloot have 10 less :courage:Courage.
Lord Van Bloot has ""Invisibility: Strike 15.""","Criaturas que não se chamam Lorde Van Bloot têm 10 pontos a menos de :courage:Coragem.
Lorde Van Bloot possui ""Invisibilidade: Golpe 15"".",The horrific home of the harrowing Lord Van Bloot.,A casa horripilante do terrível Lorde Van Bloot.,Speed,Velocidade
,Ok,Graalorn Forest,Floresta de Graalorn,,,"When an Elemental Attack is played by a Creature, heal 5 damage to it.","Quando uma Criatura realiza um Ataque Elemental, cure 5 pontos de dano dela.","The heart of the forest exhales, breathing life into those injured.","O coração da floresta exala, dando vida aos feridos.",Wisdom,Sabedoria
,Ok,Grand Hall of Muge's Summit,Grande Salão da Cúpula de Muge,,,"When a Mugic counter is removed from a Creature, Grand Hall of Muge's Summit deals 10 damage to the engaged Creature controlled by the same player.","Quando um marcador de Mugic é removido de uma Criatura, o Grande Salão do Cume de Muge causa 10 pontos de dano à Criatura Engajada controlada pelo mesmo jogador.",Muges rarely feel comfortable sharing their secrets.,Muges raramente se sentem à vontade para compartilhar seus segredos.,Power,Poder
2,Ok,Hall of Fatigue,Salão da Fadiga,,,"Engaged Creatures have ""Exhaust :power:Power 5"" and ""Exhaust :speed:Speed 5.""","Criaturas Engajadas têm ""Exaustão :power:Poder 5"" e ""Exaustão :speed:Velocidade 5"".","When the body has nothing left to give, only the strong-willed fight on.","Quando o corpo não tem mais nada a oferecer, só resta aos mais determinados lutar.",Speed,Velocidade
2,Ok,Herken's Feast,Festa de Herken,,,The first attack played by a Creature each combat is reduced by 20 damage.,O primeiro ataque realizado por uma Criatura em cada combate tem seu dano reduzido em 20 pontos.,"The sumptuous meal would have thrilled royalty, but the guests had more important matters to digest.","A refeição suntuosa teria encantado a realeza, mas os convidados tinham assuntos mais importantes a tratar.",Wisdom,Sabedoria
,Ok,Ijahni Outpost,Posto Avançado Ijahni,,,"Your Creatures have 10 less Energy. 
Mirage: Creatures cannot move off this space unless their controller removes a :genericmugic: from any Creature they control.","Suas Criaturas têm 10 de Energia a menos.
Miragem: As Criaturas não podem se mover deste espaço a menos que seu controlador remova um :genericmugic: de qualquer Criatura que elas controlem.",,,Air,Ar
,Ok,Illusionary Lake,Lago Ilusório,,,"Engaged Creatures do not have :water:Water and cannot gain it.
Mirage: Creatures in this space do not have :water:Water and cannot gain it.","Criaturas Engajadas não possuem :water:Água e não podem obtê-la.
Miragem: Criaturas neste espaço não possuem :water:Água e não podem obtê-la.",,,Water,Água
,Ok,Imaginary Walls,Paredes Imaginárias,,,"When this becomes the active Location, your opponent can return a Mugic Card in their general discard pile to their hand.
Attacks deal 10 less damage to Creatures that are a M'arrillian or a Minion.","Quando este Local se torna o Local ativo, seu oponente pode retornar um Card de Mugic da pilha de descarte geral dele para a mão.
Ataques causam 10 pontos de dano a menos contra Criaturas que sejam um M'arrillian ou um Lacaio.",,,Danian,Danian
,Ok,Indigo Grove,Bosque Índigo,,,"When this becomes the active Location, you can sacrifice a non-Conjuror Creature you control. If you do, return a Conjuror Creature Card in your general discard pile to play to any unoccupied space on the Battleboard.","Quando este Local se tornar o Local ativo, você pode sacrificar uma Criatura que não seja Conjurador que você controla. Se fizer isso, devolva um card de Criatura Conjurador da sua pilha de descarte geral para jogá-lo em qualquer espaço desocupado no Tabuleiro de Batalha.",,,Power,Poder
,Ok,Iparu Jungle,Selva de Iparu,,,"When this becomes the active Location, flip a coin. If tails, shuffle Iparu Jungle into its controller's Location Deck and that player reveals a new active Location.
Mirage: At the beginning of combat, each engaged Creature in this space gains or loses Energy so its Energy is equal to its Scanned Energy.","Quando este se tornar o Local ativo, jogue uma moeda. Se der coroa, embaralhe a Selva de Iparu no Baralho de Locais do seu controlador e esse jogador revela um novo Local ativo.
Miragem: No início do combate, cada Criatura Engajada neste espaço ganha ou perde Energia para que sua Energia seja igual à sua Energia Escaneada.",,,Wisdom,Sabedoria
,Ok,Iron Pillar,Pilar de Ferro,,,Battlegear have no abilities.,Os equipamentos de batalha não possuem habilidades.,The frequent quakes that rock the UnderWorld are blamed on the instability of this once-might prop.,Os frequentes terremotos que sacodem o Submundo são atribuídos à instabilidade desse suporte outrora poderoso.,Courage,Coragem
,Ok,Jade Pillar,Pilar de Jade,,,"When this becomes the active Location, put 10 Jade counters on it. As an attack deals damage, remove 1 Jade Counter for each 5 damage dealt.
When the last Counter is removed, Jade Pillar deals 50 damage to the Creature that played the last attack.","Quando este Local se tornar o Local ativo, coloque 10 marcadores de Jade nele. Conforme um ataque causa dano, remova 1 marcador de Jade para cada 5 de dano causado.
Quando o último marcador for removido, o Pilar de Jade causa 50 de dano à Criatura que realizou o último ataque.",,,Power,Poder
,Ok,Kaizeph,Kaizeph,City of the Elements,Cidade dos Elementos,Creatures take 5 less damage from attacks they share an Elemental Type with.,As Criaturas sofrem 5 pontos de dano a menos de ataques com os quais compartilham um Tipo Elemental.,"Unlike all else, the Citadel is the foundation of everything.","Diferentemente de todo o resto, a Cidadela é o alicerce de tudo.",Number of Elements,Número de elementos
,Ok,Khybon's Scrapyard,Ferro-velho de Khybon,,,"When a Battlegear is put into a general discard pile, put a Scrap Counter on Khybon's Scrapyard. Then, if it has three or more Scrap counters, return up to one Battlegear Card from your general discard pile to play equipped to an unequipped Creature you control and your opponent reveals a new active Location.","Quando um Equipamento de Batalha for colocado em uma pilha de descarte geral, coloque um Marcador de Sucata no Ferro-velho de Khybon. Então, se ele tiver três ou mais Marcadores de Sucata, retorne até um Card de Equipamento de Batalha da sua pilha de descarte geral para jogar equipado a uma Criatura desequipada que você controla e seu oponente revelar um novo Local ativo.",,,Power,Poder
,Ok,Kiru City,Cidade de Kiru,,,OverWorld Creatures have an additional 10 Energy.,As Criaturas do Outro Mundo têm 10 de Energia adicionais.,The majestic capital of the OverWorld is named in memory of one of its greatest leaders.,A majestosa capital do Outro Mundo recebeu o nome em memória de um de seus maiores líderes.,Wisdom,Sabedoria
,Ok,Kiru City,Cidade de Kiru,(OP),(OP),OverWorld Creatures have an additional 10 Energy.,As Criaturas do Outro Mundo têm 10 de Energia adicionais.,"""We will rebuild our home on the ruins of Old Kiru. The UnderWorlders may have destroyed our city, but they can never destroy our spirit!"" — Maxxor","""Reconstruiremos nosso lar sobre as ruínas da antiga Kiru. Os habitantes do Submundo podem ter destruído nossa cidade, mas jamais poderão destruir nosso espírito!"" — Maxxor",Wisdom,Sabedoria
,Ok,Kiru City Tunnels,Túneis da cidade de Kiru,,,"Creatures with 35 or more Scanned Energy deal 10 less attack damage.
When any player shuffles their Attack Deck, that player reveals a new active Location.","Criaturas com 35 ou mais de Energia Escaneada causam 10 pontos de dano de ataque a menos.
Quando qualquer jogador embaralha seu Baralho de Ataque, esse jogador revela um novo Local ativo.",,,Muge,Muge
,Ok,Kiru Village,Vila Kiru,,,Past Creatures have an additional 10 Energy.,Criaturas do Passado possuem 10 de Energia adicional.,"""Yes, Chaor's ancestor was one of the greatest OverWorlders of all time. I'm proud he was my friend, despite what he ultimately became."" — Najarin","""Sim, o ancestral de Chaor foi um dos maiores habitantes do Outro Mundo de todos os tempos. Tenho orgulho de que ele tenha sido meu amigo, apesar do que ele acabou se tornando."" — Najarin",Air,Ar
,Ok,Lake Blakeer,Lago Blakeer,,,"At the beginning of combat, engaged M'arrillian Creatures lose 10 Energy. engaged M'arrillian Creatures named Aa'une gain 20 Energy instead.","No início do combate, Criaturas M'arrillianas Engajadas perdem 10 de Energia. Criaturas M'arrillianas Engajadas com o nome Aa'une ganham 20 de Energia em vez disso.",The legend forged here will last for generations.,A lenda forjada aqui perdurará por gerações.,Wisdom,Sabedoria
,Ok,Lake Ken-I-Po,Lago Ken-I-Po,Ritual Site,Local de Ritual,"Creatures cannot gain or lose Elemental Types from Mugic, Attacks or abilities.","As Criaturas não podem ganhar ou perder Tipos Elementais por meio de Mugic, Ataques ou habilidades.","As the towers emerged, all wondered what more lay bellow the surface.","À medida que as torres emergiam, todos se perguntavam o que mais se escondia sob a superfície.",Number of Elements,Número de elementos
,Ok,Lake Ken-I-Po,Lago Ken-I-Po,,,"Each Mugic has ""Untargetable.""","Cada Mugic possui a propriedade ""Inalvejável"".","Above the placid waters, Najarin's castle towers. A dim light flickers... and a mystery is born.","Acima das águas plácidas, ergue-se o castelo de Najarin. Uma luz tênue cintila... e um mistério nasce.",Power,Poder
,Ok,Lake Morn,Lago Morn,Globe Storm,Tempestade Global,"When this becomes the active Location, flip a coin. If heads, Creatures with :water:Water take an additional 5 attack damage. If tails, Creatures with :water:Water take 5 less attack damage.","Quando este Local se tornar o Local ativo, jogue uma moeda. Se der cara, Criaturas com :water:Água sofrem 5 pontos de dano de ataque adicionais. Se der coroa, Criaturas com :water:Água sofrem 5 pontos de dano de ataque a menos.",,,Air,Ar
,Ok,Lava Pond,Lagoa de lava,,,":fire:Fire attacks deal an additional 5 damage.
Damage dealt by :air:Air attacks is reduced by 5.
Creatures named Magmon have "":fire:Fire 5.""",":fire:Ataques de fogo causam 5 de dano adicional.

O dano causado por :air:Ataques de :air:Ar é reduzido em 5.
Criaturas chamadas Magmon têm "":fire:Fogo 5"".",,,Speed,Velocidade
,Ok,Lava Pond,Lagoa de lava,Milla'iin's Foothold,Ponto de apoio de Milla'iin,"When this becomes the active Location, each player reveals a random Mugic Card from their hand.
Cards with the same name as the revealed cards cannot be played.
Creatures that are a M'arrillian or a Minion take 5 less non-attack damage.","Quando este Local se torna o Local ativo, cada jogador revela uma Carta Mugic aleatória da sua mão.
Cartas com o mesmo nome das cartas reveladas não podem ser jogadas.

Criaturas que sejam um M'arrillian ou um Lacaios sofrem 5 de dano a menos por meios que não sejam de ataque.",,,Power,Poder
